<Offset into main = 5537>
<Offset to target instruction = 111098>
<Difference = 111098 - 5537 = 105561>
<Return out of main; trigger lower = 111230>

0 34 0x00000000 0xf14020f3 M csrrs         x1, mhartid, x0
1 36 0x00000004 0x80002217 M auipc         x4, 0x80002000
2 38 0x00000008 0xffb20213 M addi          x4, x27, -5
3 40 0x0000000c 0xff027113 M andi          x2, x16, -16
4 42 0x00000010 0x80000197 M auipc         x3, 0x80000000
5 44 0x00000014 0x7f018193 M addi          x3, x16, 2032
6 46 0x00000018 0x000022b7 M lui           x5, 0x00002000
7 48 0x0000001c 0x80028293 M addi          x5, x0, -2048
8 64 0x00000020 0x30029073 M csrrw         x0, mstatus, x5
9 66 0x00000024 0x00000317 M auipc         x6, 0x00000000
10 68 0x00000028 0x18030313 M addi          x6, x0, 384
11 71 0x0000002c 0x30531073 M csrrw         x0, mtvec, x6
12 74 0x00000030 0x30401073 M csrrw         x0, mie, x0
13 76 0x00000034 0x00002397 M auipc         x7, 0x00002000
14 78 0x00000038 0xa4038393 M addi          x7, x0, -1472
15 80 0x0000003c 0x80000417 M auipc         x8, 0x80000000
16 95 0x00000040 0xfc440413 M addi          x8, x4, -60
17 97 0x00000044 0x80000497 M auipc         x9, 0x80000000
18 99 0x00000048 0xfdc48493 M addi          x9, x28, -36
19 101 0x0000004c 0x80000517 M auipc         x10, 0x80000000
20 103 0x00000050 0xfd450513 M addi          x10, x20, -44
21 105 0x00000054 0x80000597 M auipc         x11, 0x80000000
22 107 0x00000058 0x0d058593 M addi          x11, x16, 208
23 109 0x0000005c 0x00000613 M addi          x12, x0, 0
24 125 0x00000060 0x00000693 M addi          x13, x0, 0
25 127 0x00000064 0x00000713 M addi          x14, x0, 0
26 129 0x00000068 0x00000793 M addi          x15, x0, 0
27 131 0x0000006c 0x00000813 M addi          x16, x0, 0
28 133 0x00000070 0x00000893 M addi          x17, x0, 0
29 135 0x00000074 0x00000913 M addi          x18, x0, 0
30 137 0x00000078 0x00000993 M addi          x19, x0, 0
31 139 0x0000007c 0x00000a13 M addi          x20, x0, 0
32 155 0x00000080 0x00000a93 M addi          x21, x0, 0
33 157 0x00000084 0x00000b13 M addi          x22, x0, 0
34 159 0x00000088 0x00000b93 M addi          x23, x0, 0
35 161 0x0000008c 0x00000c13 M addi          x24, x0, 0
36 163 0x00000090 0x00000c93 M addi          x25, x0, 0
37 165 0x00000094 0x00000d13 M addi          x26, x0, 0
38 167 0x00000098 0x00000d93 M addi          x27, x0, 0
39 169 0x0000009c 0x00000e13 M addi          x28, x0, 0
40 185 0x000000a0 0x00000e93 M addi          x29, x0, 0
41 187 0x000000a4 0x00000f13 M addi          x30, x0, 0
42 189 0x000000a8 0x00000f93 M addi          x31, x0, 0
43 193 0x000000ac 0x02008a63 M beq           x0, x1, 52
44 216 0x000000e0 0x00838e63 M beq           x8, x7, 28
45 219 0x000000e4 0x00945c63 M bge           x9, x8, 24
46 239 0x000000e8 0x0003a783 M lw            x15, 15(x7)
47 253 0x000000ec 0x00f42023 M sw            x8, 0(x15)
48 255 0x000000f0 0x00438393 M addi          x7, x4, 4
49 257 0x000000f4 0x00440413 M addi          x8, x4, 4
50 261 0x000000f8 0xfedff06f M jal           x0, -20
51 280 0x000000e4 0x00945c63 M bge           x9, x8, 24
52 285 0x000000e8 0x0003a783 M lw            x15, 15(x7)
53 291 0x000000ec 0x00f42023 M sw            x8, 0(x15)
54 293 0x000000f0 0x00438393 M addi          x7, x4, 4
55 295 0x000000f4 0x00440413 M addi          x8, x4, 4
56 299 0x000000f8 0xfedff06f M jal           x0, -20
57 304 0x000000e4 0x00945c63 M bge           x9, x8, 24
58 309 0x000000e8 0x0003a783 M lw            x15, 15(x7)
59 315 0x000000ec 0x00f42023 M sw            x8, 0(x15)
60 317 0x000000f0 0x00438393 M addi          x7, x4, 4
61 319 0x000000f4 0x00440413 M addi          x8, x4, 4
